Miltal,Modellår,Biltyp,Drivning,Hästkrafter,Färg,Märke,Modell,Län,Pris (Y),,,
1491,2022,halvkombi,2,204,grå,hyundai,kona,Kronoberg,349800,,Umut,VW
9800,2019,sedan,2,120,svart,hyundai,ioniq,Göteborg,144000,,Kamila,BMW
6729,2020,suv,4,408,svart,audi,e-tron,Skåne,528900,,Kicki,Tesla - Kia
1270,2022,suv,2,136,röd,hyundai,kona,Uppsala,259900,,Leonardo,Ford
11748,2020,halvkombi,2,136,[blå],hyundai,ioniq,Örebro,209800,,Matt,Audi - Hyundai
4355,2020,suv,4,408,svart,audi,e-tron,Malmö,548900,,Quan,Nissan
6400,2022,suv,2,204,blå,hyundai,kona,Örebro,319800,,Ali,MG
7400,2020,suv,2,204,grå,hyundai,kona,Örebro,274800,,,44 var
4998,2020,suv,2,204,grå,hyundai,kona,Örebro,289800,,,396  observationer
3525,2020,suv,2,204,röd,hyundai,kona,Örebro,289800,,,
3990,2023,sedan,4,476,svart,audi,e-tron,karlskrona,867000,,,
9975,2019,suv,2,204,[mörkgrå],hyundai,kona,karlskrona,237000,,,
4045,2022,suv,4,300,grå,audi,q4,vimmerby,549900,,,
5100,2021,sedan,2,218,grå,hyundai,ioniq,skövde,459900,,,
9100,2022,suv,2,218,svart,hyundai,ioniq,värnamo,419900,,,
4073,2021,suv,4,408,grå,audi,e-tron,stockholm,534900,,,
4277,2022,suv,2,204,blå,audi,q4,järfälla,478900,,,
10500,2019,suv,4,408,svart,audi,e-tron,malmö,409800,,,
3520,2021,suv,4,504,svart,audi,e-tron,Göteborg,719800,,,
9162,2019,suv,4,408,svart,audi,e-tron,stockholm,425900,,,
3977,2022,suv,4,408,grå,audi,e-tron,stockholm,626900,,,
3411,2022,suv,2,204,brun,hyundai,kona,stockholm,343900,,,
2289,2022,suv,2,218,grön,hyundai,ioniq,stockholm,439900,,,
2732,2022,suv,2,170,svart,audi,q4,stockholm,386900,,,
5483,2021,suv,4,408,svart,audi,e-tron,stockholm,494900,,,
1638,2022,suv,2,170,grå,audi,q4,stockholm,391900,,,
3550,2021,suv,4,408,svart,audi,e-tron,stockholm,497900,,,
9188,2019,suv,4,408,grå,audi,e-tron,stockholm,384900,,,
7466,2019,halvkombi,2,120,[ljusgrå],hyundai,ioniq,stockholm,185900,,,
7735,2020,halvkombi,2,136,[vit],hyundai,ioniq,stockholm,208900,,,
7417,2020,suv,4,408,svart,audi,e-tron,stockholm,414900,,,
5425,2022,suv,4,408,blå,audi,e-tron,stockholm,620900,,,
7052,2021,suv,4,408,grå,audi,e-tron,stockholm,503900,,,
2941,2022,suv,4,408,vit,audi,e-tron,stockholm,628900,,,
