"X","Miltal","Modellår","Hästkrafter","Pris..Y.","Biltyp_Biltyphalvkombi","Biltyp_Biltypkombi","Biltyp_Biltypsedan","Biltyp_Biltypsuv","Drivning_Drivning2","Drivning_Drivning4","Färg_Färgblå","Färg_Färgbrun","Färg_Färggrå","Färg_Färggrön","Färg_Färggul","Färg_Färgljusgrå","Färg_Färgljusgrön","Färg_Färgmörkblå","Färg_Färgmörkgrå","Färg_Färgmörkgrön","Färg_Färgorange","Färg_Färgröd","Färg_Färgsilver","Färg_Färgsvart","Färg_Färgvit","Län_Länblekinge","Län_Ländalarna","Län_Längotland","Län_Länhalland","Län_Länjönköping","Län_Länkalmar","Län_Länkronoberg","Län_Lännorrbotten","Län_Länörebro","Län_Länöstergötland","Län_Länskåne","Län_Länsödermanland","Län_Länstockholm","Län_Länuppsala","Län_Länvärmland","Län_Länvästerbotten","Län_Länvästernorrland","Län_Länvästmanland","Län_Länvästra götaland","Märkell__Märkell_audi_e-tron","Märkell__Märkell_audi_q4","Märkell__Märkell_bmw_i3","Märkell__Märkell_bmw_i3s","Märkell__Märkell_bmw_i4","Märkell__Märkell_bmw_ix","Märkell__Märkell_bmw_ix1","Märkell__Märkell_bmw_ix2","Märkell__Märkell_bmw_ix3","Märkell__Märkell_ford_mustang","Märkell__Märkell_hyundai_ioniq","Märkell__Märkell_hyundai_kona","Märkell__Märkell_kia_ev6","Märkell__Märkell_kia_ev9","Märkell__Märkell_kia_niro","Märkell__Märkell_kia_soul","Märkell__Märkell_mb_eqa","Märkell__Märkell_mb_eqb","Märkell__Märkell_mb_eqc","Märkell__Märkell_mb_eqe","Märkell__Märkell_mg_4","Märkell__Märkell_mg_5","Märkell__Märkell_mg_marvel","Märkell__Märkell_mg_r","Märkell__Märkell_mg_zs","Märkell__Märkell_nissan_ariya","Märkell__Märkell_nissan_leaf","Märkell__Märkell_tesla_3","Märkell__Märkell_tesla_s","Märkell__Märkell_tesla_x","Märkell__Märkell_tesla_y","Märkell__Märkell_volkswagen_e-golf","Märkell__Märkell_volkswagen_e-up!","Märkell__Märkell_volkswagen_id.3","Märkell__Märkell_volkswagen_id.4","Märkell__Märkell_volkswagen_id.5"
1,1491,2022,204,349800,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,9800,2019,120,144000,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,6729,2020,408,528900,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1270,2022,136,259900,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,11748,2020,136,209800,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,4355,2020,408,548900,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,6400,2022,204,319800,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,7400,2020,204,274800,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,4998,2020,204,289800,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,3525,2020,204,289800,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
