"Miltal","Modellår","Hästkrafter","Färg","Län","Biltyp_halvkombi","Biltyp_kombi","Biltyp_sedan","Biltyp_suv","Drivning_2","Drivning_4","Pris..Y.","Märkell"
1491,2022,204,"grå","kronoberg",1,0,0,0,1,0,349800,"hyundai_kona"
9800,2019,120,"svart","västra götaland",0,0,1,0,1,0,144000,"hyundai_ioniq"
6729,2020,408,"svart","skåne",0,0,0,1,0,1,528900,"audi_e-tron"
1270,2022,136,"röd","uppsala",0,0,0,1,1,0,259900,"hyundai_kona"
11748,2020,136,"blå","örebro",1,0,0,0,1,0,209800,"hyundai_ioniq"
4355,2020,408,"svart","skåne",0,0,0,1,0,1,548900,"audi_e-tron"
6400,2022,204,"blå","örebro",0,0,0,1,1,0,319800,"hyundai_kona"
7400,2020,204,"grå","örebro",0,0,0,1,1,0,274800,"hyundai_kona"
4998,2020,204,"grå","örebro",0,0,0,1,1,0,289800,"hyundai_kona"
3525,2020,204,"röd","örebro",0,0,0,1,1,0,289800,"hyundai_kona"
3990,2023,476,"svart","blekinge",0,0,1,0,0,1,867000,"audi_e-tron"
9975,2019,204,"mörkgrå","blekinge",0,0,0,1,1,0,237000,"hyundai_kona"
4045,2022,300,"grå","kalmar",0,0,0,1,0,1,549900,"audi_q4"
5100,2021,218,"grå","västra götaland",0,0,1,0,1,0,459900,"hyundai_ioniq"
9100,2022,218,"svart","jönköping",0,0,0,1,1,0,419900,"hyundai_ioniq"
4073,2021,408,"grå","stockholm",0,0,0,1,0,1,534900,"audi_e-tron"
4277,2022,204,"blå","stockholm",0,0,0,1,1,0,478900,"audi_q4"
10500,2019,408,"svart","skåne",0,0,0,1,0,1,409800,"audi_e-tron"
3520,2021,504,"svart","västra götaland",0,0,0,1,0,1,719800,"audi_e-tron"
9162,2019,408,"svart","stockholm",0,0,0,1,0,1,425900,"audi_e-tron"
3977,2022,408,"grå","stockholm",0,0,0,1,0,1,626900,"audi_e-tron"
3411,2022,204,"brun","stockholm",0,0,0,1,1,0,343900,"hyundai_kona"
2289,2022,218,"grön","stockholm",0,0,0,1,1,0,439900,"hyundai_ioniq"
2732,2022,170,"svart","stockholm",0,0,0,1,1,0,386900,"audi_q4"
5483,2021,408,"svart","stockholm",0,0,0,1,0,1,494900,"audi_e-tron"
1638,2022,170,"grå","stockholm",0,0,0,1,1,0,391900,"audi_q4"
3550,2021,408,"svart","stockholm",0,0,0,1,0,1,497900,"audi_e-tron"
9188,2019,408,"grå","stockholm",0,0,0,1,0,1,384900,"audi_e-tron"
7466,2019,120,"ljusgrå","stockholm",1,0,0,0,1,0,185900,"hyundai_ioniq"
7735,2020,136,"vit","stockholm",1,0,0,0,1,0,208900,"hyundai_ioniq"
7417,2020,408,"svart","stockholm",0,0,0,1,0,1,414900,"audi_e-tron"
5425,2022,408,"blå","stockholm",0,0,0,1,0,1,620900,"audi_e-tron"
7052,2021,408,"grå","stockholm",0,0,0,1,0,1,503900,"audi_e-tron"
2941,2022,408,"vit","stockholm",0,0,0,1,0,1,628900,"audi_e-tron"
5244,2020,408,"svart","stockholm",0,0,0,1,0,1,433900,"audi_e-tron"
5110,2020,136,"vit","stockholm",0,0,0,1,1,0,199900,"hyundai_kona"
3478,2022,408,"grå","stockholm",0,0,0,1,0,1,624900,"audi_e-tron"
5244,2022,300,"svart","stockholm",0,0,0,1,0,1,504900,"audi_q4"
7367,2022,408,"grå","stockholm",0,0,0,1,0,1,583900,"audi_e-tron"
2998,2023,204,"grå","stockholm",0,0,0,1,1,0,474900,"audi_q4"
4373,2021,504,"silver","stockholm",0,0,0,1,0,1,692900,"audi_e-tron"
1950,2022,204,"svart","kalmar",0,0,0,1,1,0,379900,"hyundai_kona"
4232,2020,136,"röd","stockholm",1,0,0,0,1,0,200000,"hyundai_ioniq"
8826,2020,408,"grå","stockholm",0,0,0,1,0,1,479900,"audi_e-tron"
4000,2019,120,"grå","örebro",1,0,0,0,1,0,199800,"hyundai_ioniq"
4200,2021,150,"svart","skåne",1,0,0,0,1,0,189000,"nissan_leaf"
7880,2022,218,"vit","örebro",1,0,0,0,1,0,279800,"nissan_leaf"
610,2023,150,"mörkblå","jönköping",1,0,0,0,1,0,298800,"nissan_leaf"
1500,2023,150,"vit","västra götaland",1,0,0,0,1,0,309900,"nissan_leaf"
673,2022,150,"vit","östergötland",1,0,0,0,1,0,219900,"nissan_leaf"
8227,214,109,"silver","gotland",1,0,0,0,1,0,109800,"nissan_leaf"
605,2023,150,"mörkblå","kronoberg",1,0,0,0,1,0,259800,"nissan_leaf"
800,2022,150,"mörkblå","halland",1,0,0,0,1,0,279800,"nissan_leaf"
3300,2022,150,"vit","stockholm",1,0,0,0,1,0,184900,"nissan_leaf"
6600,2019,150,"vit","norrbotten",1,0,0,0,1,0,179900,"nissan_leaf"
